Unnamed: 0,Pts.,PJ,PG,PE,PP,GF,GC,Dif.,Grupo,year
Inglaterra,6,3,2,0,1,8,3,5,Grupo G,2018
Senegal,4,3,1,1,1,4,4,0,Grupo H,2018
Túnez,3,3,1,0,2,5,8,–3,Grupo G,2018
Uruguay,9,3,3,0,0,5,0,5,Grupo A,2018
Irán,4,3,1,1,1,2,2,0,Grupo B,2018
Suecia,6,3,2,0,1,5,2,3,Grupo F,2018
Croacia,9,3,3,0,0,7,1,6,Grupo D,2018
Serbia,3,3,1,0,2,2,4,–2,Grupo E,2018
Corea del Sur,3,3,1,0,2,3,3,0,Grupo F,2018
Nigeria,3,3,1,0,2,3,4,–1,Grupo D,2018
Panamá,0,3,0,0,3,2,11,–9,Grupo G,2018
Australia,1,3,0,1,2,2,5,–3,Grupo C,2018
Polonia,3,3,1,0,2,2,5,–3,Grupo H,2018
Japón,4,3,1,1,1,4,4,0,Grupo H,2018
Arabia Saudita,3,3,1,0,2,2,7,–5,Grupo A,2018
México,6,3,2,0,1,3,4,–1,Grupo F,2018
Perú,3,3,1,0,2,2,2,0,Grupo C,2018
Marruecos,1,3,0,1,2,2,4,–2,Grupo B,2018
Alemania,3,3,1,0,2,2,4,–2,Grupo F,2018
Portugal,5,3,1,2,0,5,4,1,Grupo B,2018
Islandia,1,3,0,1,2,2,5,–3,Grupo D,2018
Argentina,6,3,2,0,1,5,2,3,Grupo C,2022
Portugal,6,3,2,0,1,6,4,2,Grupo H,2022
Japón,6,3,2,0,1,4,3,1,Grupo E,2022
Irán,3,3,1,0,2,4,7,–3,Grupo B,2022
México,4,3,1,1,1,2,3,–1,Grupo C,2022
Serbia,1,3,0,1,2,5,8,–3,Grupo G,2022
Túnez,4,3,1,1,1,1,1,0,Grupo D,2022
Inglaterra,7,3,2,1,0,9,2,7,Grupo B,2022
Costa Rica,3,3,1,0,2,3,11,–8,Grupo E,2022
Marruecos,7,3,2,1,0,4,1,3,Grupo F,2022
Alemania,4,3,1,1,1,6,5,1,Grupo E,2022
Polonia,4,3,1,1,1,2,2,0,Grupo C,2022
Brasil,6,3,2,0,1,3,1,2,Grupo G,2022
Países Bajos,7,3,2,1,0,5,1,4,Grupo A,2022
Arabia Saudita,3,3,1,0,2,3,5,–2,Grupo C,2022
Gales,1,3,0,1,2,1,6,–5,Grupo B,2022
Australia,6,3,2,0,1,3,4,–1,Grupo D,2022
Catar,0,3,0,0,3,1,7,–6,Grupo A,2022
Francia,6,3,2,0,1,6,3,3,Grupo D,2022
Dinamarca,1,3,0,1,2,1,3,–2,Grupo D,2022
Corea del Sur,4,3,1,1,1,4,4,0,Grupo H,2022
Bélgica,4,3,1,1,1,1,2,–1,Grupo F,2022
Uruguay,4,3,1,1,1,2,2,0,Grupo H,2022
Croacia,5,3,1,2,0,4,1,3,Grupo F,2022
Canadá,0,3,0,0,3,2,7,–5,Grupo F,2022
Senegal,6,3,2,0,1,5,4,1,Grupo A,2022
España,4,3,1,1,1,9,3,6,Grupo E,2022
Ecuador,4,3,1,1,1,4,3,1,Grupo A,2022
Camerún,4,3,1,1,1,4,4,0,Grupo G,2022
Suiza,6,3,2,0,1,4,3,1,Grupo G,2022
Estados Unidos,5,3,1,2,0,2,1,1,Grupo B,2022
Ghana,3,3,1,0,2,5,7,–2,Grupo H,2022
