,home,score,away,year
20,Argentina,0:3,Croacia,2018
26,Brasil,2:0,Costa Rica,2018
14,Dinamarca,1:1,Australia,2018
49,Uruguay,2:1,Portugal,2018
44,Japón,2:2,Senegal,2018
61,Croacia,2:1,Inglaterra,2018
24,Costa Rica,0:1,Serbia,2018
63,Francia,4:2,Croacia,2018
37,Túnez,1:2,Inglaterra,2018
32,Corea del Sur,1:2,México,2018
48,Francia,4:3,Argentina,2018
22,Nigeria,1:2,Argentina,2018
40,Inglaterra,0:1,Bélgica,2018
42,Colombia,1:2,Japón,2018
60,Francia,1:0,Bélgica,2018
58,Suecia,0:2,Inglaterra,2018
12,Francia,2:1,Australia,2018
38,Bélgica,5:2,Túnez,2018
39,Inglaterra,6:1,Panamá,2018
10,Irán,1:1,Portugal,2018
33,Alemania,2:1,Suecia,2018
7,Portugal,3:3,España,2018
9,Irán,0:1,España,2018
50,España,3:4,Rusia,2018
62,Bélgica,2:0,Inglaterra,2018
47,Senegal,0:1,Colombia,2018
56,Uruguay,0:2,Francia,2018
6,Marruecos,0:1,Irán,2018
23,Islandia,1:2,Croacia,2018
46,Japón,0:1,Polonia,2018
28,Serbia,0:2,Brasil,2018
25,Brasil,1:1,Suiza,2018
15,Francia,1:0,Perú,2018
5,Arabia Saudita,2:1,Egipto,2018
36,Bélgica,3:0,Panamá,2018
31,Suecia,1:0,Corea del Sur,2018
57,Brasil,1:2,Bélgica,2018
16,Dinamarca,0:0,Francia,2018
59,Rusia,3:4,Croacia,2018
43,Polonia,1:2,Senegal,2018
41,Panamá,1:2,Túnez,2018
53,Bélgica,3:2,Japón,2018
55,Colombia,3:4,Inglaterra,2018
30,Alemania,0:1,México,2018
18,Argentina,1:1,Islandia,2018
2,Rusia,3:1,Egipto,2018
3,Uruguay,1:0,Arabia Saudita,2018
17,Australia,0:2,Perú,2018
1,Egipto,0:1,Uruguay,2018
35,México,0:3,Suecia,2018
11,España,2:2,Marruecos,2018
13,Perú,0:1,Dinamarca,2018
51,Croacia,3:2,Dinamarca,2018
21,Nigeria,2:0,Islandia,2018
29,Suiza,2:2,Costa Rica,2018
52,Brasil,2:0,México,2018
45,Polonia,0:3,Colombia,2018
19,Croacia,2:0,Nigeria,2018
0,Rusia,5:0,Arabia Saudita,2018
27,Serbia,1:2,Suiza,2018
8,Portugal,1:0,Marruecos,2018
54,Suecia,1:0,Suiza,2018
34,Corea del Sur,2:0,Alemania,2018
4,Uruguay,3:0,Rusia,2018
